"SYM","TOOL","ELEMENT","S/C"
"PL14","PRO-L","Controlling","Composite"
"PQ07","GPQ","Controlling","Simple"
"MT15","MATE","Deciding","Composite"
"TR12","INTRAY","Deciding","Composite"
"MT12","MATE","Organizing","Composite"
"PQ06","GPQ","Organizing","Simple"
"TR11","INTRAY","Organizing","Composite"
"CS01","CSI","Problem Solving","Simple"
"MT14","MATE","Problem Solving","Composite"
"PQ15","GPQ","Self Development","Simple"
"IN08","WAWANCARA","Self Development","Simple"
"MT16","MATE","Strategic Analysis","Composite"
"TR07","INTRAY","Strategic Analysis","Simple"
"TR14","INTRAY","Strategic Analysis","Composite"
